Date,Time,Temperature,Humidity
01/07/22,15:49,22.2*C,43.8%
01/07/22,15:50,22.2*C,43.7%
01/07/22,15:51,22.1*C,43.7%
01/07/22,15:52,22.2*C,43.8%
01/07/22,15:53,22.2*C,43.8%
01/07/22,15:54,22.1*C,43.8%
01/07/22,15:55,22.1*C,44.0%
01/07/22,15:56,22.2*C,44.1%
01/07/22,15:58,22.2*C,44.2%
01/07/22,15:59,22.1*C,44.2%
01/07/22,16:00,22.2*C,44.4%
01/07/22,16:01,22.1*C,44.4%
01/07/22,16:02,22.2*C,44.6%
01/07/22,16:03,22.1*C,44.8%
01/07/22,16:04,22.1*C,44.9%
01/07/22,16:05,22.1*C,45.1%
01/07/22,16:06,22.2*C,45.1%
01/07/22,16:07,22.2*C,45.4%
01/07/22,16:08,22.2*C,45.4%
01/07/22,16:09,22.2*C,45.6%
01/07/22,16:10,22.2*C,45.6%
01/07/22,16:11,22.2*C,45.6%
01/07/22,16:12,22.2*C,45.7%
01/07/22,16:13,22.2*C,45.7%
01/07/22,16:14,22.3*C,46.0%
01/07/22,16:15,22.2*C,46.5%
01/08/22,01:25,22.8*C,45.0%
01/08/22,01:25,22.8*C,45.0%
01/08/22,01:25,22.8*C,45.0%
01/08/22,01:25,22.8*C,45.0%
01/08/22,01:26,22.8*C,45.2%
01/08/22,01:26,22.8*C,45.1%
01/08/22,01:26,22.8*C,45.0%
01/08/22,01:26,22.8*C,45.0%
01/08/22,01:26,22.8*C,45.0%
01/08/22,01:27,22.8*C,45.0%
01/08/22,01:27,22.8*C,45.0%
01/08/22,01:27,22.8*C,45.0%
01/08/22,01:27,22.8*C,45.0%
01/08/22,01:27,22.8*C,45.0%
01/08/22,01:28,22.8*C,45.0%
01/08/22,01:28,22.8*C,45.0%
01/08/22,01:28,22.8*C,44.9%
01/08/22,01:28,22.8*C,44.9%
01/08/22,01:28,22.8*C,45.0%
01/08/22,01:28,22.8*C,45.1%
01/08/22,01:29,22.8*C,45.0%
01/08/22,01:29,22.8*C,44.9%
01/08/22,01:29,22.7*C,44.0%
01/08/22,01:29,22.8*C,44.8%
01/08/22,01:29,22.8*C,45.2%
01/08/22,01:30,22.7*C,45.0%
01/08/22,01:30,22.7*C,45.0%
01/08/22,01:30,22.8*C,45.0%
01/08/22,01:30,22.7*C,45.1%
01/08/22,01:31,22.7*C,45.0%
01/08/22,01:31,22.8*C,45.1%
01/08/22,01:31,22.8*C,45.1%
01/08/22,01:31,22.8*C,44.2%
01/08/22,01:31,22.8*C,45.3%
01/08/22,01:31,22.8*C,45.1%
01/08/22,01:32,22.8*C,45.6%
01/08/22,01:32,22.8*C,44.2%
01/08/22,01:32,22.8*C,45.0%
01/08/22,01:32,22.7*C,44.7%
01/08/22,01:32,22.7*C,44.6%
01/08/22,01:33,22.7*C,44.7%
01/08/22,01:33,22.7*C,44.9%
01/08/22,01:33,22.7*C,45.0%
01/08/22,01:33,22.7*C,45.7%
01/08/22,01:33,22.7*C,45.4%
01/08/22,01:34,22.7*C,45.3%
01/08/22,01:34,22.8*C,45.4%
01/08/22,01:34,22.7*C,45.3%
01/08/22,02:34,22.8*C,45.6%
01/08/22,02:34,22.8*C,45.2%
01/08/22,02:35,22.8*C,45.3%
01/08/22,02:35,22.8*C,45.2%
01/08/22,02:35,22.8*C,45.3%
01/08/22,02:35,22.8*C,45.2%
01/08/22,02:36,22.7*C,45.2%
01/08/22,02:36,22.7*C,45.2%
01/08/22,02:36,22.8*C,45.2%
01/08/22,02:36,22.7*C,45.1%
01/08/22,02:36,22.7*C,45.1%
01/08/22,02:37,22.8*C,45.2%
01/08/22,02:37,22.7*C,45.2%
01/10/22,13:47,22.3*C,43.2%
01/10/22,13:49,22.5*C,42.9%
01/10/22,13:49,22.5*C,42.9%
01/10/22,13:51,22.5*C,42.8%
01/10/22,13:52,22.5*C,42.7%
01/10/22,13:52,22.5*C,42.7%
01/10/22,13:53,22.5*C,42.6%
01/10/22,14:58,22.1*C,43.7%
01/10/22,14:58,22.1*C,43.7%
01/10/22,15:01,22.1*C,44.2%
01/10/22,15:02,22.1*C,43.9%
01/10/22,15:02,22.1*C,44.0%
01/10/22,15:02,22.1*C,43.9%
01/10/22,15:23,22.5*C,43.5%
01/10/22,18:42,21.8*C,44.5%
01/10/22,18:42,21.8*C,44.6%
01/10/22,18:42,21.8*C,44.6%
01/10/22,18:43,21.8*C,44.3%
01/10/22,18:43,21.8*C,44.3%
01/10/22,18:43,21.9*C,44.4%
01/10/22,18:43,21.9*C,44.6%
01/10/22,18:43,21.9*C,56.9%
01/10/22,18:44,22.6*C,83.0%
01/10/22,18:44,23.3*C,48.8%
01/10/22,18:44,23.3*C,48.0%
01/10/22,18:44,23.3*C,46.1%
01/10/22,18:45,23.2*C,45.1%
01/10/22,18:45,23.1*C,44.0%
01/10/22,18:45,23.1*C,44.1%
01/10/22,18:45,23.1*C,44.1%
01/10/22,18:46,23.0*C,44.1%
01/10/22,18:46,23.0*C,44.2%
01/10/22,18:46,22.9*C,44.0%
01/10/22,18:46,22.9*C,44.0%
01/10/22,18:47,22.8*C,44.3%
01/10/22,18:47,22.8*C,44.3%
01/10/22,18:47,22.7*C,44.3%
01/10/22,18:47,22.7*C,44.2%
01/10/22,18:47,22.7*C,44.3%
01/10/22,18:48,22.7*C,44.4%
01/10/22,18:48,22.6*C,44.3%
01/10/22,18:48,22.6*C,44.6%
01/10/22,18:48,22.5*C,44.6%
01/10/22,18:49,22.5*C,44.8%
01/10/22,18:49,22.5*C,44.8%
01/10/22,18:49,22.4*C,44.8%
01/10/22,18:49,22.4*C,44.8%
01/10/22,18:50,22.4*C,44.9%
01/10/22,18:50,22.4*C,44.9%
01/10/22,18:50,22.3*C,45.0%
01/10/22,18:50,22.3*C,45.1%
01/10/22,18:51,22.4*C,45.1%
01/10/22,18:51,22.4*C,45.2%
01/10/22,18:51,22.3*C,45.1%
01/10/22,18:51,22.3*C,45.1%
01/10/22,18:52,22.3*C,45.1%
01/10/22,18:52,22.3*C,45.2%
01/10/22,18:52,22.3*C,45.3%
01/10/22,18:52,22.2*C,45.2%
01/10/22,18:53,22.2*C,45.2%
01/10/22,18:53,22.2*C,45.3%
01/10/22,18:53,22.3*C,45.4%
01/10/22,18:53,22.3*C,45.5%
01/10/22,18:54,22.2*C,45.6%
01/10/22,18:54,22.2*C,45.5%
01/10/22,18:54,22.2*C,45.5%
01/10/22,18:54,22.2*C,45.3%
01/10/22,18:54,22.3*C,45.5%
01/10/22,18:55,22.2*C,45.5%
01/10/22,18:55,22.2*C,45.5%
01/10/22,18:55,22.2*C,45.5%
01/10/22,18:55,22.2*C,45.5%
01/10/22,18:56,22.2*C,45.5%
01/10/22,18:56,22.2*C,45.5%
01/10/22,18:56,22.2*C,45.5%
01/10/22,18:56,22.2*C,45.5%
01/10/22,18:57,22.2*C,45.5%
01/10/22,18:57,22.2*C,45.6%
01/10/22,18:57,22.2*C,45.6%
01/10/22,18:57,22.2*C,45.6%
01/10/22,18:57,22.2*C,45.6%
01/10/22,18:58,22.2*C,45.7%
01/10/22,18:58,22.2*C,45.7%
01/10/22,18:58,22.2*C,45.5%
01/10/22,18:58,22.2*C,45.5%
01/10/22,18:59,22.2*C,45.6%
01/10/22,18:59,22.2*C,45.6%
01/10/22,18:59,22.2*C,45.5%
01/10/22,18:59,22.2*C,45.7%
01/10/22,18:59,22.2*C,45.7%
01/10/22,19:00,22.2*C,45.7%
01/10/22,19:00,22.2*C,45.6%
01/10/22,19:00,22.2*C,45.6%
01/10/22,19:00,22.2*C,45.6%
01/10/22,19:01,22.2*C,45.6%
01/10/22,19:01,22.2*C,45.6%
01/10/22,19:01,22.2*C,45.4%
01/10/22,19:01,22.2*C,45.5%
01/10/22,19:01,22.2*C,45.6%
01/10/22,19:02,22.2*C,45.5%
01/10/22,19:02,22.2*C,45.5%
01/10/22,19:02,22.2*C,45.5%
01/10/22,19:02,22.2*C,45.5%
01/10/22,19:03,22.2*C,45.5%
01/10/22,19:03,22.2*C,45.5%
01/10/22,19:03,22.2*C,45.5%
01/10/22,19:03,22.2*C,45.5%
01/10/22,19:03,22.2*C,45.5%
01/10/22,19:04,22.2*C,45.6%
01/10/22,19:04,22.2*C,45.5%
01/10/22,19:04,22.2*C,45.5%
01/10/22,19:04,22.2*C,45.6%
01/10/22,19:05,22.2*C,45.6%
01/10/22,19:05,22.2*C,45.5%
01/10/22,19:05,22.2*C,45.5%
01/10/22,19:05,22.2*C,45.5%
01/10/22,19:05,22.2*C,45.5%
01/10/22,19:06,22.2*C,45.5%
01/10/22,19:06,22.2*C,45.6%
01/10/22,19:06,22.2*C,45.5%
01/10/22,19:06,22.2*C,45.7%
01/10/22,19:07,22.2*C,45.7%
01/10/22,19:07,22.2*C,45.6%
01/10/22,19:07,22.2*C,45.5%
01/10/22,19:07,22.2*C,45.4%
01/10/22,19:07,22.1*C,45.4%
01/10/22,19:08,22.1*C,45.4%
01/10/22,19:08,22.1*C,45.6%
01/10/22,19:08,22.1*C,45.6%
01/10/22,19:08,22.1*C,45.6%
01/10/22,19:09,22.1*C,45.8%
01/10/22,19:09,22.1*C,45.7%
01/10/22,19:09,22.0*C,45.7%
01/10/22,19:09,22.1*C,45.7%
01/10/22,19:10,22.1*C,45.8%
01/10/22,19:10,22.1*C,45.9%
01/10/22,19:10,22.0*C,45.7%
01/10/22,19:10,22.0*C,45.8%
01/10/22,19:11,22.0*C,45.7%
01/10/22,19:11,22.0*C,45.8%
01/10/22,19:11,22.0*C,45.8%
01/10/22,19:11,22.0*C,45.9%
01/10/22,19:12,22.0*C,45.9%
01/10/22,19:12,22.0*C,45.9%
01/10/22,19:12,22.0*C,45.9%
01/10/22,19:12,21.9*C,46.0%
01/10/22,19:13,22.0*C,46.1%
01/10/22,19:13,21.9*C,46.1%
01/10/22,19:13,22.0*C,46.1%
01/10/22,19:13,21.9*C,46.0%
01/10/22,19:13,22.0*C,46.1%
01/10/22,19:14,21.9*C,46.0%
01/10/22,19:14,22.0*C,46.2%
01/10/22,19:14,21.9*C,46.2%
01/10/22,19:14,21.9*C,46.3%
01/10/22,19:15,21.9*C,46.3%
01/10/22,19:15,21.9*C,46.2%
01/10/22,19:15,21.9*C,46.0%
01/10/22,19:15,21.9*C,46.0%
01/10/22,19:16,21.9*C,46.2%
01/10/22,19:16,21.9*C,46.2%
01/10/22,19:16,21.9*C,46.2%
01/10/22,19:16,21.9*C,46.3%
01/10/22,19:17,21.9*C,46.2%
01/10/22,19:17,21.9*C,46.3%
01/10/22,19:17,21.9*C,46.3%
01/10/22,19:17,21.9*C,46.1%
01/10/22,19:18,21.9*C,46.1%
01/10/22,19:18,21.9*C,46.2%
01/10/22,19:18,21.9*C,46.3%
01/10/22,19:18,21.9*C,46.2%
01/10/22,19:18,21.9*C,46.2%
01/10/22,19:19,21.9*C,46.3%
01/10/22,19:19,21.9*C,46.3%
01/10/22,19:19,21.9*C,46.3%
01/10/22,19:19,21.9*C,46.3%
01/10/22,19:20,21.9*C,46.3%
01/10/22,19:20,21.9*C,46.3%
01/10/22,19:20,21.9*C,46.3%
01/10/22,19:20,21.9*C,46.2%
01/10/22,19:21,21.9*C,46.3%
01/10/22,19:21,21.9*C,46.3%
01/10/22,19:21,21.9*C,46.3%
01/10/22,19:21,21.9*C,46.3%
01/10/22,19:22,21.9*C,46.3%
01/10/22,19:22,21.8*C,46.3%
01/10/22,19:22,21.9*C,46.4%
01/10/22,19:22,21.9*C,46.3%
01/10/22,19:23,21.9*C,46.3%
01/10/22,19:23,21.9*C,46.4%
01/10/22,19:23,21.9*C,46.4%
01/10/22,19:23,21.9*C,46.3%
01/10/22,19:23,21.9*C,46.4%
01/10/22,19:24,21.9*C,46.4%
01/10/22,19:24,21.9*C,46.3%
01/10/22,19:24,21.9*C,46.3%
01/10/22,19:24,21.9*C,46.3%
01/10/22,19:25,21.9*C,46.3%
01/10/22,19:25,21.9*C,46.2%
01/10/22,19:25,21.9*C,46.3%
01/10/22,19:25,21.9*C,46.4%
01/10/22,19:25,21.9*C,46.3%
01/10/22,19:26,21.9*C,46.3%
01/10/22,19:26,21.9*C,46.3%
01/10/22,19:26,21.8*C,46.2%
01/10/22,19:26,21.9*C,46.5%
01/10/22,19:27,21.8*C,46.4%
01/10/22,19:27,21.9*C,46.5%
01/10/22,19:27,21.9*C,46.4%
01/10/22,19:27,21.9*C,46.4%
01/10/22,19:28,21.9*C,46.4%
01/10/22,19:28,21.9*C,46.3%
01/10/22,19:28,21.9*C,46.4%
01/10/22,19:28,21.9*C,46.3%
01/10/22,19:29,21.9*C,46.3%
01/10/22,19:29,21.9*C,46.3%
01/10/22,19:29,21.9*C,46.3%
01/10/22,19:29,21.9*C,46.3%
01/10/22,19:30,21.9*C,46.3%
01/10/22,19:30,21.9*C,46.2%
01/10/22,19:30,21.9*C,46.3%
01/10/22,19:30,21.9*C,46.3%
01/10/22,19:31,21.9*C,46.2%
01/10/22,19:31,21.9*C,46.2%
01/10/22,19:31,21.9*C,46.2%
01/10/22,19:31,21.9*C,46.1%
01/10/22,19:32,21.9*C,46.0%
01/10/22,19:32,21.9*C,46.1%
01/10/22,19:32,21.9*C,46.1%
01/10/22,19:32,21.9*C,46.1%
01/10/22,19:33,21.9*C,46.0%
01/10/22,19:33,21.9*C,46.0%
01/10/22,19:33,21.9*C,46.1%
01/10/22,19:33,21.9*C,46.0%
01/10/22,19:34,21.9*C,46.1%
01/10/22,19:34,21.9*C,46.2%
01/10/22,19:34,21.9*C,46.1%
01/10/22,19:34,21.9*C,46.2%
01/10/22,19:34,21.9*C,46.2%
01/10/22,19:35,21.9*C,46.1%
01/10/22,19:35,21.9*C,46.0%
01/10/22,19:35,21.9*C,46.0%
01/10/22,19:35,21.9*C,46.0%
01/10/22,19:35,21.9*C,46.1%
01/10/22,19:36,21.9*C,46.1%
01/10/22,19:36,21.9*C,46.1%
01/10/22,19:36,21.9*C,46.0%
01/10/22,19:37,21.9*C,46.0%
01/10/22,19:37,21.9*C,46.0%
01/10/22,19:37,21.9*C,46.1%
01/10/22,19:37,21.9*C,46.1%
01/10/22,19:37,21.9*C,46.2%
01/10/22,19:38,21.8*C,46.1%
01/10/22,19:38,21.9*C,46.1%
01/10/22,19:38,21.9*C,46.1%
01/10/22,19:38,21.9*C,46.0%
01/10/22,19:39,21.9*C,46.0%
01/10/22,19:39,21.8*C,46.0%
01/10/22,19:39,21.9*C,46.1%
01/10/22,19:39,21.8*C,46.1%
01/10/22,19:40,21.9*C,46.1%
01/10/22,19:40,21.8*C,46.0%
01/10/22,19:40,21.9*C,46.0%
01/10/22,19:41,21.8*C,46.0%
01/10/22,19:41,21.9*C,46.1%
01/10/22,19:41,21.9*C,46.1%
01/10/22,19:41,21.8*C,46.1%
01/10/22,19:42,21.9*C,46.0%
01/10/22,19:42,21.8*C,45.9%
01/10/22,19:42,21.8*C,46.0%
01/10/22,19:42,21.9*C,46.2%
01/10/22,19:42,21.8*C,46.3%
01/10/22,19:43,21.8*C,46.0%
01/10/22,19:43,21.9*C,46.1%
01/10/22,19:43,21.8*C,46.1%
01/10/22,19:43,21.8*C,46.2%
01/10/22,19:44,21.8*C,46.1%
01/10/22,19:44,21.9*C,46.0%
01/10/22,19:44,21.8*C,46.0%
01/10/22,19:44,21.9*C,46.1%
01/10/22,19:45,21.8*C,46.0%
01/10/22,19:45,21.8*C,46.0%
01/10/22,19:45,21.8*C,46.0%
01/10/22,19:45,21.9*C,46.0%
01/10/22,19:45,21.9*C,46.0%
01/10/22,19:46,21.9*C,46.0%
01/10/22,19:46,21.8*C,46.0%
01/10/22,19:46,21.8*C,46.0%
01/10/22,19:46,21.8*C,46.0%
01/10/22,19:47,21.8*C,45.9%
01/10/22,19:47,21.8*C,46.0%
01/10/22,19:47,21.8*C,46.0%
01/10/22,19:47,21.8*C,46.1%
01/10/22,19:47,21.8*C,46.1%
01/10/22,19:48,21.8*C,46.0%
01/10/22,19:48,21.8*C,46.0%
01/10/22,19:48,21.8*C,45.9%
01/10/22,19:48,21.8*C,46.0%
01/10/22,19:49,21.8*C,46.0%
01/10/22,19:49,21.9*C,46.1%
01/10/22,19:49,21.8*C,46.0%
01/10/22,19:49,21.8*C,46.0%
01/10/22,19:49,21.8*C,46.0%
01/10/22,19:50,21.8*C,46.0%
01/10/22,19:50,21.8*C,46.0%
01/10/22,19:50,21.8*C,45.9%
01/10/22,19:50,21.8*C,45.9%
01/10/22,19:51,21.8*C,45.9%
01/10/22,19:51,21.8*C,46.0%
01/10/22,19:51,21.8*C,45.9%
01/10/22,19:52,21.8*C,45.9%
01/10/22,19:52,21.8*C,45.9%
01/10/22,19:52,21.8*C,45.8%
01/10/22,19:52,21.8*C,45.9%
01/10/22,19:53,21.8*C,45.9%
01/10/22,19:53,21.8*C,45.9%
01/10/22,19:53,21.8*C,45.9%
01/10/22,19:53,21.8*C,45.9%
01/10/22,19:54,21.8*C,45.9%
01/10/22,19:54,21.8*C,46.0%
01/10/22,19:54,21.8*C,46.1%
01/10/22,19:54,21.8*C,45.9%
01/10/22,19:54,21.8*C,45.9%
01/10/22,19:55,21.8*C,45.9%
01/10/22,19:55,21.8*C,45.9%
01/10/22,19:55,21.9*C,46.0%
01/10/22,19:55,21.8*C,45.9%
01/10/22,19:56,21.8*C,45.9%
01/10/22,19:56,21.9*C,45.9%
01/10/22,19:56,21.9*C,45.9%
01/10/22,19:56,21.8*C,45.8%
01/10/22,19:57,21.8*C,45.9%
01/10/22,19:57,21.9*C,45.9%
01/10/22,19:57,21.8*C,45.8%
01/10/22,19:57,21.8*C,45.9%
01/10/22,19:58,21.9*C,45.9%
01/10/22,19:58,21.9*C,45.9%
01/10/22,19:58,21.9*C,45.9%
01/10/22,19:58,21.8*C,45.8%
01/10/22,19:58,21.9*C,45.9%
01/10/22,19:59,21.9*C,45.8%
01/10/22,19:59,21.9*C,45.8%
01/10/22,19:59,21.8*C,45.8%
01/10/22,19:59,21.9*C,46.0%
01/10/22,19:59,21.8*C,45.9%
01/10/22,20:00,21.8*C,45.8%
01/10/22,20:00,21.9*C,45.9%
01/10/22,20:00,21.8*C,45.8%
01/10/22,20:01,21.8*C,45.9%
01/10/22,20:01,21.8*C,45.9%
01/10/22,20:01,21.8*C,45.8%
01/10/22,20:01,21.8*C,45.8%
01/10/22,20:01,21.8*C,45.8%
01/10/22,20:02,21.8*C,45.8%
01/10/22,20:02,21.8*C,45.7%
01/10/22,20:02,21.8*C,45.7%
01/10/22,20:02,21.8*C,45.8%
01/10/22,20:03,21.8*C,45.8%
01/10/22,20:03,21.8*C,45.8%
01/10/22,20:03,21.8*C,45.7%
01/10/22,20:03,21.8*C,45.7%
01/10/22,20:04,21.8*C,45.7%
01/10/22,20:04,21.8*C,45.8%
01/10/22,20:04,21.8*C,45.8%
01/10/22,20:04,21.8*C,45.8%
01/10/22,20:05,21.8*C,45.8%
01/10/22,20:05,21.8*C,45.8%
01/10/22,20:05,21.8*C,45.8%
01/10/22,20:05,21.8*C,45.8%
01/10/22,20:06,21.9*C,45.8%
01/10/22,20:06,21.9*C,45.8%
01/10/22,20:06,21.8*C,45.7%
01/10/22,20:06,21.8*C,45.7%
01/10/22,20:06,21.8*C,45.7%
01/10/22,20:07,21.8*C,45.7%
01/10/22,20:07,21.8*C,45.7%
01/10/22,20:07,21.8*C,45.8%
01/10/22,20:07,21.9*C,45.8%
01/10/22,20:08,21.8*C,45.8%
01/10/22,20:08,21.8*C,45.7%
01/10/22,20:08,21.9*C,45.7%
01/10/22,20:08,21.9*C,45.7%
01/10/22,20:09,21.8*C,45.7%
01/10/22,20:09,21.9*C,45.7%
01/10/22,20:09,21.9*C,45.8%
01/10/22,20:09,21.9*C,45.8%
01/10/22,20:09,21.9*C,45.8%
01/10/22,20:10,21.9*C,45.9%
01/10/22,20:10,21.8*C,45.8%
01/10/22,20:10,21.9*C,45.9%
01/10/22,20:10,21.9*C,45.7%
01/10/22,20:11,21.8*C,45.6%
01/10/22,20:11,21.9*C,45.6%
01/10/22,20:11,21.8*C,45.4%
01/10/22,20:11,21.8*C,45.4%
01/10/22,20:11,21.9*C,45.6%
01/10/22,20:12,21.8*C,45.6%
01/10/22,20:12,21.8*C,45.6%
01/10/22,20:12,21.8*C,45.6%
01/10/22,20:13,21.8*C,45.6%
01/10/22,20:13,21.8*C,45.6%
01/10/22,20:13,21.9*C,45.7%
01/10/22,20:13,21.8*C,45.7%
01/10/22,20:13,21.8*C,45.7%
01/10/22,20:14,21.8*C,45.7%
01/10/22,20:14,21.8*C,45.7%
01/10/22,20:14,21.8*C,45.7%
01/10/22,20:14,21.8*C,45.7%
01/10/22,20:14,21.8*C,45.6%
01/10/22,20:15,21.8*C,45.7%
01/10/22,20:15,21.8*C,45.7%
01/10/22,20:15,21.8*C,45.7%
01/10/22,20:15,21.8*C,45.7%
01/10/22,20:16,21.8*C,45.7%
01/10/22,20:16,21.8*C,45.6%
01/10/22,20:16,21.8*C,45.6%
01/10/22,20:16,21.8*C,45.6%
01/10/22,20:17,21.8*C,45.6%
01/10/22,20:17,21.8*C,45.6%
01/10/22,20:17,21.8*C,45.6%
01/10/22,20:17,21.8*C,45.6%
01/10/22,20:17,21.8*C,45.5%
01/10/22,20:18,21.8*C,45.5%
01/10/22,20:18,21.8*C,45.5%
01/10/22,20:18,21.8*C,45.4%
01/10/22,20:19,21.8*C,45.5%
01/10/22,20:19,21.8*C,45.7%
01/10/22,20:19,21.8*C,45.6%
01/10/22,20:19,21.8*C,45.6%
01/10/22,20:20,21.8*C,45.6%
01/10/22,20:20,21.8*C,45.5%
01/10/22,20:20,21.8*C,45.5%
01/10/22,20:20,21.8*C,45.6%
01/10/22,20:21,21.8*C,45.5%
01/10/22,20:21,21.8*C,45.6%
01/10/22,20:21,21.8*C,45.7%
01/10/22,20:21,21.8*C,45.6%
01/10/22,20:22,21.8*C,45.5%
01/10/22,20:22,21.8*C,45.5%
01/10/22,20:22,21.8*C,45.5%
01/10/22,20:22,21.8*C,45.4%
01/10/22,20:23,21.8*C,45.5%
01/10/22,20:23,21.8*C,45.4%
01/10/22,20:23,21.8*C,45.4%
01/10/22,20:23,21.8*C,45.3%
01/10/22,20:23,21.8*C,45.3%
01/10/22,20:24,21.7*C,45.2%
01/10/22,20:24,21.7*C,45.2%
01/10/22,20:24,21.8*C,45.3%
01/10/22,20:24,21.7*C,45.2%
01/10/22,20:25,21.8*C,45.2%
01/10/22,20:25,21.7*C,45.2%
01/10/22,20:25,21.7*C,45.2%
01/10/22,20:25,21.7*C,45.2%
01/10/22,20:26,21.7*C,45.2%
01/10/22,20:26,21.7*C,45.2%
01/10/22,20:26,21.7*C,45.3%
01/10/22,20:26,21.7*C,45.2%
01/10/22,20:27,21.7*C,45.2%
01/10/22,20:27,21.7*C,45.2%
01/10/22,20:27,21.7*C,45.2%
01/10/22,20:27,21.7*C,45.1%
01/10/22,20:27,21.7*C,45.2%
01/10/22,20:28,21.7*C,45.2%
01/10/22,20:28,21.7*C,45.3%
01/10/22,20:28,21.7*C,45.2%
01/10/22,20:28,21.7*C,45.3%
01/10/22,20:28,21.7*C,45.3%
01/10/22,20:29,21.7*C,45.4%
01/10/22,20:29,21.7*C,45.4%
01/10/22,20:29,21.7*C,45.4%
